Base,-al form, -less form 
accent,accentual,accentless
action,actinal,actionless
action,actional,actionless
anchor,ancoral,anchorless
anther,antheral,antherless
art,artal,artless
author,authorial,authorless
bale,balneal,baleless
band,bancal,bandless
barb,barbal,barbless
bark,barbal,barkless
barb,barwal,barbless
bark,barwal,barkless
base,basial,baseless
bath,bathyal,bathless
benefice,beneficial,beneficeless
bone,boreal,boneless
bough,bouchal,boughless
bract,bracteal,bractless
branch,branchial,branchless
brand,branial,brandless
bride,bridal,brideless
brim,bridal,brimless
brine,bringal,brineless
brink,bringal,brinkless
brine,brinjal,brineless
brink,brinjal,brinkless
brim,bromal,brimless
brow,bromal,browless
brim,brumal,brimless
care,carnal,careless
care,carpal,careless
care,carval,careless
caste,castral,casteless
caster,castral,casterless
case,casual,caseless
cause,causal,causeless
cement,cemental,cementless
center,central,centerless
cere,cercal,cereless
cere,cereal,cereless
chap,chamal,chapless
charm,chamal,charmless
character,characterial,characterless
charm,chasmal,charmless
chair,chiral,chairless
chin,chiral,chinless
chin,chital,chinless
city,citral,cityless
clan,claval,clanless
claw,claval,clawless
client,cliental,clientless
clan,clinal,clanless
cloak,cloacal,cloakless
cloister,cloisteral,cloisterless
cloister,cloistral,cloisterless
clan,clonal,clanless
cloy,clonal,cloyless
coat,coastal,coatless
cost,coastal,costless
coal,coaxal,coalless
coat,coaxal,coatless
cook,cockal,cookless
coat,coital,coatless
cost,coital,costless
commerce,commercial,commerceless
complexion,complexional,complexionless
conductor,conductorial,conductorless
core,corial,coreless
corn,corial,cornless
core,corneal,coreless
corn,corneal,cornless
corn,cornual,cornless
corn,coronal,cornless
core,corral,coreless
corn,corral,cornless
core,correal,coreless
coat,costal,coatless
cost,costal,costless
crank,cranial,crankless
crater,crateral,craterless
creature,creatural,creatureless
creed,creedal,creedless
crust,crustal,crustless
cure,cuneal,cureless
curb,curial,curbless
cure,curial,cureless
curb,cursal,curbless
cure,cursal,cureless
curb,curtal,curbless
cure,curtal,cureless
day,dayal,dayless
decay,decadal,decayless
decay,decanal,decayless
