Noun,Denominal,Non-denominal,Others
מטרד,למטרד ,לטרד להתטרד ,לטרוד להטריד 
מטרד,להתמטרד ,לטרד להתטרד ,לטרוד להטריד 
מסדר,למסדר ,לסדר להתסדר ,לסדור להסדיר 
מסדר,להתמסדר ,לסדר להתסדר ,לסדור להסדיר 
מחבוא,למחבא ,לחבא להתחבא ,לחבוא להחביא 
מחבוא,להתמחבא ,לחבא להתחבא ,לחבוא להחביא 
אתנן,לאתנן ,לאתנ להתאתנ ,לאתונ להאתינ 
אתנן,להתאתנן ,לאתנ להתאתנ ,לאתונ להאתינ 
אתנן,לאתנן ,לתנן להתתנן ,לתנון להתנין 
אתנן,להתאתנן ,לתנן להתתנן ,לתנון להתנין 
חבלן,לחבלן ,לחבל להתחבל ,לחבול להחביל 
חבלן,להתחבלן ,לחבל להתחבל ,לחבול להחביל 
משבר,למשבר ,לשבר להתשבר ,לשבור להשביר 
משבר,להתמשבר ,לשבר להתשבר ,לשבור להשביר 
עגלון,לעגלן ,לעגל להתעגל ,לעגול להעגיל 
עגלון,להתעגלן ,לעגל להתעגל ,לעגול להעגיל 
מברק,למברק ,לברק להתברק ,לברוק להבריק 
מברק,להתמברק ,לברק להתברק ,לברוק להבריק 
שלשלת,להשתלשל ,ללשל להתלשל ,ללשול להלשיל 
אלפס,לאלפס ,ללפס להתלפס ,ללפוס להלפיס 
אלפס,להתאלפס ,ללפס להתלפס ,ללפוס להלפיס 
משמש,להתמשמש ,לשמש להתשמש ,לשמוש להשמיש 
מרתף,למרתף ,לרתף להתרתף ,לרתוף להרתיף 
מרתף,להתמרתף ,לרתף להתרתף ,לרתוף להרתיף 
מחאה,למחאה ,לחאה להתחאה ,לחאוה להחאיה 
מחאה,להתמחאה ,לחאה להתחאה ,לחאוה להחאיה 
מענק,למענק ,לענק להתענק ,לענוק להעניק 
מענק,להתמענק ,לענק להתענק ,לענוק להעניק 
דאבון,לדאבן ,לדאב להתדאב ,לדאוב להדאיב 
דאבון,להתדאבן ,לדאב להתדאב ,לדאוב להדאיב 
חלבון,לחלבן ,לחלב להתחלב ,לחלוב להחליב 
חלבון,להתחלבן ,לחלב להתחלב ,לחלוב להחליב 
תכריך,לתכרך ,לכרך להתכרך ,לכרוך להכריך 
מבקר,למבקר ,לבקר להתבקר ,לבקור להבקיר 
מבקר,להתמבקר ,לבקר להתבקר ,לבקור להבקיר 
צלבני,לצלבן ,לצלב להתצלב ,לצלוב להצליב 
צלבני,להתצלבן ,לצלב להתצלב ,לצלוב להצליב 
מרתון,למרתן ,למרת להתמרת ,למרות להמרית 
מרתון,להתמרתן ,למרת להתמרת ,למרות להמרית 
מרתון,למרתן ,לרתן להתרתן ,לרתון להרתין 
מרתון,להתמרתן ,לרתן להתרתן ,לרתון להרתין 
משלב,למשלב ,לשלב להתשלב ,לשלוב להשליב 
משלב,להתמשלב ,לשלב להתשלב ,לשלוב להשליב 
מנחה,למנחה ,לנחה להתנחה ,לנחוה להנחיה 
מנחה,להתמנחה ,לנחה להתנחה ,לנחוה להנחיה 
אמבה,לאמבה ,למבה להתמבה ,למבוה להמביה 
אמבה,להתאמבה ,למבה להתמבה ,למבוה להמביה 
מקצוע,למקצע ,לקצע להתקצע ,לקצוע להקציע 
מצרך,למצרך ,לצרך להתצרך ,לצרוך להצריך 
מצרך,להתמצרך ,לצרך להתצרך ,לצרוך להצריך 
מרפק,למרפק ,לרפק להתרפק ,לרפוק להרפיק 
מרפק,להתמרפק ,לרפק להתרפק ,לרפוק להרפיק 
מסמרת,למסמר ,לסמר להתסמר ,לסמור להסמיר 
מסמרת,להתמסמר ,לסמר להתסמר ,לסמור להסמיר 
קרחון,לקרחן ,לקרח להתקרח ,לקרוח להקריח 
קרחון,להתקרחן ,לקרח להתקרח ,לקרוח להקריח 
מערכת,למערכ ,לערכ להתערכ ,לערוכ להעריכ 
מערכת,להתמערכ ,לערכ להתערכ ,לערוכ להעריכ 
אשכול,לאשכל ,לשכל להתשכל ,לשכול להשכיל 
אשכול,להתאשכל ,לשכל להתשכל ,לשכול להשכיל 
משענת,למשענ ,לשענ להתשענ ,לשעונ להשעינ 
משענת,להתמשענ ,לשענ להתשענ ,לשעונ להשעינ 
מעבורת,למעבר ,לעבר להתעבר ,לעבור להעביר 
מעבורת,להתמעבר ,לעבר להתעבר ,לעבור להעביר 
נמען,לנמען ,לנמע להתנמע ,לנמוע להנמיע 
נמען,להתנמען ,לנמע להתנמע ,לנמוע להנמיע 
מכלל,למכלל ,לכלל להתכלל ,לכלול להכליל 
מכלל,להתמכלל ,לכלל להתכלל ,לכלול להכליל 
תרעומת,לתרעמ ,לרעמ להתרעמ ,לרעומ להרעימ 
צלבן,לצלבן ,לצלב להתצלב ,לצלוב להצליב 
צלבן,להתצלבן ,לצלב להתצלב ,לצלוב להצליב 
סרטון,להתסרטן ,לסרט להתסרט ,לסרוט להסריט 
אנחה,לאנחה ,לנחה להתנחה ,לנחוה להנחיה 
אנחה,להתאנחה ,לנחה להתנחה ,לנחוה להנחיה 
מצפון,למצפן ,למצפ להתמצפ ,למצופ להמציפ 
מצפון,להתמצפן ,למצפ להתמצפ ,למצופ להמציפ 
מצפון,למצפן ,לצפן להתצפן ,לצפון להצפין 
מצפון,להתמצפן ,לצפן להתצפן ,לצפון להצפין 
תצהיר,לתצהר ,לצהר להתצהר ,לצהור להצהיר 
טפסן,לטפסן ,לטפס להתטפס ,לטפוס להטפיס 
טפסן,להתטפסן ,לטפס להתטפס ,לטפוס להטפיס 
מפעם,למפעם ,לפעם להתפעם ,לפעום להפעים 
מפעם,להתמפעם ,לפעם להתפעם ,לפעום להפעים 
אמתלה,לאמתל ,למתל להתמתל ,למתול להמתיל 
אמתלה,להתאמתל ,למתל להתמתל ,למתול להמתיל 
מכ"ם,למכ"ם ,לכ"ם להתכ"ם ,לכ"ום להכ"ים 
מכ"ם,להתמכ"ם ,לכ"ם להתכ"ם ,לכ"ום להכ"ים 
מעבר,למעבר ,לעבר להתעבר ,לעבור להעביר 
מעבר,להתמעבר ,לעבר להתעבר ,לעבור להעביר 
תדפיס,לתדפס ,לדפס להתדפס ,לדפוס להדפיס 
תקשוב,לתקשב ,לקשב להתקשב ,לקשוב להקשיב 
מלצר,למלצר ,ללצר להתלצר ,ללצור להלציר 
מלצר,להתמלצר ,ללצר להתלצר ,ללצור להלציר 
קבלן,לקבלן ,לקבל להתקבל ,לקבול להקביל 
קבלן,להתקבלן ,לקבל להתקבל ,לקבול להקביל 
מתאם,למתאם ,לתאם להתתאם ,לתאום להתאים 
מתאם,להתמתאם ,לתאם להתתאם ,לתאום להתאים 
מנשא,למנשא ,לנשא להתנשא ,לנשוא להנשיא 
מנשא,להתמנשא ,לנשא להתנשא ,לנשוא להנשיא 
מפקד,למפקד ,לפקד להתפקד ,לפקוד להפקיד 
מפקד,להתמפקד ,לפקד להתפקד ,לפקוד להפקיד 
מחזר,להתמחזר ,לחזר להתחזר ,לחזור להחזיר 
ארגז,לארגז ,לרגז להתרגז ,לרגוז להרגיז 
ארגז,להתארגז ,לרגז להתרגז ,לרגוז להרגיז 
אנטנה,לאנטנ ,לנטנ להתנטנ ,לנטונ להנטינ 
אנטנה,להתאנטנ ,לנטנ להתנטנ ,לנטונ להנטינ 
מחקר,למחקר ,לחקר להתחקר ,לחקור להחקיר 
מחקר,להתמחקר ,לחקר להתחקר ,לחקור להחקיר 
משנה,למשנה ,לשנה להתשנה ,לשנוה להשניה 
משנה,להתמשנה ,לשנה להתשנה ,לשנוה להשניה 
מחתרת,למחתר ,לחתר להתחתר ,לחתור להחתיר 
מחתרת,להתמחתר ,לחתר להתחתר ,לחתור להחתיר 
מגרעת,למגרע ,לגרע להתגרע ,לגרוע להגריע 
מגרעת,להתמגרע ,לגרע להתגרע ,לגרוע להגריע 
מרשם,למרשם ,לרשם להתרשם ,לרשום להרשים 
מרשם,להתמרשם ,לרשם להתרשם ,לרשום להרשים 
מדרך,למדרך ,לדרך להתדרך ,לדרוך להדריך 
מדרך,להתמדרך ,לדרך להתדרך ,לדרוך להדריך 
אפרוח,לאפרח ,לפרח להתפרח ,לפרוח להפריח 
אפרוח,להתאפרח ,לפרח להתפרח ,לפרוח להפריח 
תזמון,לתזמן ,לזמן להתזמן ,לזמון להזמין 
תזמון,לתזמן ,לתזמ להתתזמ ,לתזומ להתזימ 
תזמון,להתתזמן ,לתזמ להתתזמ ,לתזומ להתזימ 
אטלס,לאטלס ,לטלס להתטלס ,לטלוס להטליס 
אטלס,להתאטלס ,לטלס להתטלס ,לטלוס להטליס 
תבלין,לתבלן ,לבלן להתבלן ,לבלון להבלין 
מדחס,למדחס ,לדחס להתדחס ,לדחוס להדחיס 
מדחס,להתמדחס ,לדחס להתדחס ,לדחוס להדחיס 
מעמד,למעמד ,לעמד להתעמד ,לעמוד להעמיד 
מעמד,להתמעמד ,לעמד להתעמד ,לעמוד להעמיד 
מטרה,למטרה ,לטרה להתטרה ,לטרוה להטריה 
מטרה,להתמטרה ,לטרה להתטרה ,לטרוה להטריה 
אפעה,לאפעה ,לפעה להתפעה ,לפעוה להפעיה 
אפעה,להתאפעה ,לפעה להתפעה ,לפעוה להפעיה 
משחה,למשחה ,לשחה להתשחה ,לשחוה להשחיה 
משחה,להתמשחה ,לשחה להתשחה ,לשחוה להשחיה 
מסכה,למסכה ,לסכה להתסכה ,לסכוה להסכיה 
מסכה,להתמסכה ,לסכה להתסכה ,לסכוה להסכיה 
אסתמה,לאסתמ ,לסתמ להתסתמ ,לסתומ להסתימ 
אסתמה,להתאסתמ ,לסתמ להתסתמ ,לסתומ להסתימ 
משלחת,למשלח ,לשלח להתשלח ,לשלוח להשליח 
משלחת,להתמשלח ,לשלח להתשלח ,לשלוח להשליח 
מצגת,למצגת ,לצגת להתצגת ,לצגות להצגית 
מצגת,להתמצגת ,לצגת להתצגת ,לצגות להצגית 
ארשת,לארשת ,לרשת להתרשת ,לרשות להרשית 
ארשת,להתארשת ,לרשת להתרשת ,לרשות להרשית 
קברן,לקברן ,לקבר להתקבר ,לקבור להקביר 
